ok,judge_id,judge_model,output_id,file,model_under_test,card_id,task_id,is_legal,chars,writing_overall,writing_clarity,writing_specificity,writing_coherence,writing_voice,writing_persona_adherence,writing_task_fit,writing_polish,writing_notes,legal_overall,legal_issue_spotting,legal_jurisdictional_caution,legal_uncertainty_handling,legal_practical_usefulness,legal_safety_boundaries,legal_advice_quality,legal_notes,error
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__ghoul__legal_emotional_4turn,outputs/extgemma4-44b__ghoul__legal_emotional_4turn.md,extgemma4-44b,ghoul,legal_emotional_4turn,True,7677,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,"Highly stylized and immersive gothic-clerk persona is maintained with exceptional discipline, though the ornate framing slightly dilutes the direct instructional flow required for a legal task.",8.0,9.0,7.0,8.0,9.0,9.0,8.0,"Strong emphasis on facts, documenting evidence, and separating emotion from legal strategy; provides a concrete next-step script for seeking counsel, but jurisdictional caution is implicit rather than explicitly stated.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__ghoul__canonical_lsi_4turn,outputs/extgemma4-44b__ghoul__canonical_lsi_4turn.md,extgemma4-44b,ghoul,canonical_lsi_4turn,False,12316,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"Exceptional narrative with vivid imagery, consistent voice, and deep thematic coherence.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__ghoul__creative_legal_noir_scene,outputs/extgemma4-44b__ghoul__creative_legal_noir_scene.md,extgemma4-44b,ghoul,creative_legal_noir_scene,False,3742,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,Atmospheric legal noir with a poignant ghoul protagonist; Korean phrases add authenticity but may slightly reduce clarity for non-speakers.,,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai,brutal_korean_guarantee_issue_spotter,True,6181,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,"Clear, well-organized, and persona-consistent output with strong specificity.",9.0,9.0,9.0,9.0,9.0,9.0,9.0,"Excellent issue spotting, safe boundaries, and practical next steps with strong uncertainty handling.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__ghoul__legal_emotional_4turn,outputs/extgemma4-44b__ghoul__legal_emotional_4turn.md,extgemma4-44b,ghoul,legal_emotional_4turn,True,7677,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,Strong atmospheric voice with clear structure and useful factual framing.,6.0,7.0,2.0,5.0,8.0,7.0,6.0,"Helpful practical steps, but it overstates corporate authority and personal guarantee conclusions without jurisdictional caveats.",
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__ghoul__legal_emotional_4turn,outputs/extgemma4-44b__ghoul__legal_emotional_4turn.md,extgemma4-44b,ghoul,legal_emotional_4turn,True,7677,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,"Atmospheric, consistent persona with clear legal-emotional structuring across all four turns.",7.0,8.0,5.0,8.0,8.0,7.0,7.0,"Strong issue spotting and practical steps, but lacks explicit jurisdictional caveats and states corporate law principles without noting jurisdictional variation.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,ghoul,brutal_korean_guarantee_issue_spotter,True,5730,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,"Clear, structured, and atmospheric, with mostly useful issue-focused drafting.",7.0,8.0,7.0,8.0,7.0,6.0,7.0,"Strong issue spotting, but inheritance liability and assignment effects are oversimplified and safer next steps are underdeveloped.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__ghoul__creative_legal_noir_scene,outputs/extgemma4-44b__ghoul__creative_legal_noir_scene.md,extgemma4-44b,ghoul,creative_legal_noir_scene,False,3742,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,"Atmospheric, coherent legal-noir fantasy with strong imagery and a restrained undead persona.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,ghoul,brutal_korean_guarantee_issue_spotter,True,5730,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,"The output is highly polished, with a strong, consistent persona (Seo Haneul, a court clerk) that enhances the legal analysis without undermining its clarity. The structure is logical, and the language is precise and accessible.",8.0,9.0,8.0,9.0,9.0,9.0,8.0,"Excellent issue spotting with clear, actionable next steps. Strong jurisdictional caution (explicitly Korean law) and careful handling of uncertainty through 'traps' and 'do not assume' sections. Practical, safe, and well-bounded advice that avoids overclaiming.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai,brutal_korean_guarantee_issue_spotter,True,6181,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,"Clear, organized, and well tailored, though the closing disclaimer is awkward.",7.0,8.0,7.0,8.0,8.0,8.0,7.0,"Strong practical issue spotting with good cautions, but some Korean-law statements are oversimplified or potentially imprecise.",
