source_kind,model_under_test,card_id,item_r,facet_r,domain_r
card,profile_card,ghoul,0.8373483510052806,0.8733253427612085,0.9442341078042239
card,profile_card,grounded_ai,0.8373077722021535,0.8771374100849281,0.9291322891834181
card,profile_card,grounded_ai_female,0.8649067880627851,0.9181662121925287,0.9885188521520349
card,profile_card,grounded_ai_female_overt,0.79913377046299,0.8490231987467295,0.9615289483039233
card,profile_card,human,0.8681185892457566,0.9001384940172465,0.9434426621375392
card,profile_card,source_skeleton,0.8996876445250469,0.9349435824091412,0.9978422835489973
lsi,extgemma4-44b,ghoul,0.9082765142424568,0.9318980368123516,0.9409571210007035
lsi,extgemma4-44b,grounded_ai,0.8214879962097076,0.8588604035417448,0.9157905109602287
lsi,extgemma4-44b,grounded_ai_female_overt,0.8699192566893279,0.9063935205656136,0.9794284191201548
lsi,extgemma4-44b,human,0.8733099733397469,0.9454179841563207,0.9967376147477414
lsi,extgemma4-44b,no_card,0.7999332338737979,0.8463433921681941,0.9260804484961014
lsi,extgemma4-44b,source_skeleton,0.7384812090059633,0.8220328301956022,0.8972990340641177
lsi,gemma4-31b-it,ghoul,0.9039483063301247,0.9444071019681101,0.9621361940611314
lsi,gemma4-31b-it,grounded_ai,0.7720130173182651,0.8081854499423028,0.8023964184262198
lsi,gemma4-31b-it,grounded_ai_female_overt,0.9010990513369266,0.9361293346661904,0.9935438568786257
lsi,gemma4-31b-it,human,0.7999513606850142,0.8348813359879853,0.8492453777321634
lsi,gemma4-31b-it,no_card,0.8906546683926742,0.9362447180639131,0.979959630757687
lsi,gemma4-31b-it,source_skeleton,0.8653155145926371,0.9130281871220328,0.9608932986783062
